title,url,lat,lng,leadtext,content
Bulle,https://www.myswitzerland.com/en-ch/destinations/bulle/,46.61955,7.05834,"Situated in the heart of Gruyère, the city of Bulle is the administrative capital of this largely agricultural region and has a wealth of attractions to appeal to all tastes.","In this preserved and unspoilt environment, the visitor can enjoy the most varied and seasonal activities in a pastoral setting.Firmly anchored in ancestral and typical traditions, its museum charts the marked development of the town and its surrounding region. Renowned as a cultural meeting place, the city boasts folk markets, livestock fairs, salons, exhibitions, theatres, concerts and shows which attract a very diverse public audience.The culinary arts remain the focal point for many visitors to Gruyère, and each year the local restaurants offer Bénichon feast menus alongside regional specialities."
Muotathal,https://www.myswitzerland.com/en-ch/destinations/muota-valley/,46.97367,8.75985,"The Muota Valley is known for its down-to-earth weather prophets and its more than 200-kilometer-long karst Höllloch cave system. But it has plenty more to offer, even in winter, and for anyone who wants to give ice climbing a go, this is the perfect place!","The Muota valley is a green, drawn-out and mountain-encircled Schwyz mountain valley that has its valley entrance close to the cantonal capital and which borders Uri Canton in the south and Glarus Canton in the east. Extending across 172 square kilometres, the Muota valley ranks among Switzerland’s ten largest communes in respect of area, and is nearly as large as the entire canton of Zug.The commune region is home to one of the longest caves in the world. According to the latest research, the labyrinth of Höllloch caves which was discovered in 1875 extends across 195 kilometres (!) and lies under the karst terrain of the primeval forest-like Bödmeren forest and the Silberen. In contrast to other caves, the ‘Höllloch’ (hell-hole) has hardly been tamed for visitors with the likes of concreted pathways or electric lighting. Tours into the Höllloch – ranging from 1½-hour short guided tours through to expeditions of several days with bivouac – are therefore conducted by trained guides. In this underground world the stalagmites and stalactites, but also the deep gorges, enchanting rock formations, ‘glacial mills’ and fossilizations are all spectacular to see.The secluded geographical location has helped the folk in the valley to retain their down-to-earth character and their staid sense of calmness. Also famous far and wide is their dry sense of humour, which forms the theme for an explanatory ‘humour walking trail’. A unique, much-loved style of folk music has also been retained. The Muota valley weathermen, also named “Wetterschmöcker” in Swiss German, are much celebrated. Twice yearly these prophets present annual weather forecasts with much humour; the forecasts are strongly underpinned by outdoor observations.Ski tours can be undertaken until well into May, with the Blüemberg, the Glatten and the Twärenen being the most popular destinations. Easily accessible Schwyz ski areas are Stoos-Fronalpstock-Klingenstock (above the entrance to the Muota valley) und Sattel-Hochstuckli near Rothenturm.Spray-infused waterfalls, rushing white water streams, colour-bedecked wildflower meadows and bizarre karst landforms all belong to the overground natural beauties of the Muota valley. Visitors seeking tranquillity will find an extensive network of rambling trails. At Muotathal village, the valley forks: the Bisistal leads southwards where a cableway ultimately takes visitors up onto the Glattalp (mountain restaurant). In an easterly direction, the Muota valley rises up to the Pragel pass, the link to the Klöntalersee in the canton of Glarus.See the sledge dogs in action during the summer half year. Learn the right way to deal with the huskies and enjoy a trip with your new four-legged friends."
Stoosbahn,https://www.myswitzerland.com/en-ch/experiences/stoosbahn/,46.98165,8.66682,"At the very heart of Switzerland, a world record holding technical innovation awaits: the world’s steepest funicular leads from Schwyz up to Stoos.","1-2 hours0 to 5 years, 6 to 9 years, 10 to 13 years, 14+ yearsChildren, Families, Groups, Individual, CouplesOutdoorNature, RelaxStoosbahnen AGStoosplatz 16433 Stoos SZSwitzerlandPhone+41 (0)41 818 08 08info@stoos.chstoos.chShow Route"
NBC Snow Park,https://www.myswitzerland.com/en-ch/experiences/nbc-snow-park/,47.06246,8.80377,"Those in the know in the whole ski and snowboard scene meets in Hoch-Ybrig to really let it rip. The NBC Snowpark next to the 6-seater Hesisbol chair lift is “the” place to try out kickers, boxes, rails, bag jumps and the Woody Park.",Fix
Fronalpstock – panoramic trail around the summit,https://www.myswitzerland.com/en-ch/experiences/fronalpstock-panoramic-trail-around-the-summit/,46.98165,8.66682,The 1922-m-high Fronalpstock enthroned above the car-free village of Stoos in Central Switzerland is best reached by cable car.,Stoosbahnen AGStoosplatz 16433 StoosSwitzerlandPhone+41 (0)41 818 08 08info@stoos.chstoos.chShow Route
Stoos – Fronalpstock,https://www.myswitzerland.com/en-ch/experiences/stoos-fronalpstock/,46.98165,8.66682,The striking viewing platform above Brunnen can be easily reached by chair lift from car-free Stoos. Gaze across the arms of Lake Lucerne to the Black Forest.,1-2 hoursOutdoorStoosbahnen AGStoosplatz 16433 Stoos SZSwitzerlandPhone+41 (0)41 818 08 08info@stoos.chstoos.chShow Route
Skiing like an Olympic medal winner,https://www.myswitzerland.com/en-ch/experiences/skiing-like-an-olympic-medal-winner/,46.61887,7.16586,"Jacques Lüthy, bronze medal winner of the 1980 Olympics, provides his guests in Charmey with equipment and tips for a successful slalom run.",GroupsOutdoorLa Gruyère Tourisme – Office du tourisme de CharmeyLes Charrières 3Case postale 251637 CharmeySwitzerlandPhone+41 (0)84 842 44 24charmey@la-gruyere.chla-gruyere.chShow Route
Snow Park Charmey,https://www.myswitzerland.com/en-ch/experiences/snow-park-1/,46.61887,7.16586,The snow park is open to skiers and snowboarders of all ages!,Fixau sommet de la télécabine​TéléCharmey SALes Charrières 31637 Charmey (Gruyère)SwitzerlandPhone+41 26 927 55 20Fax +41 26 927 55 29info@charmey.chcharmey.chShow Route
Charmey,https://www.myswitzerland.com/en-ch/destinations/charmey/,46.61887,7.16586,"Fancy spending some time amid a picture-postcard landscape in the heart of Switzerland? The Fribourg Region, especially the village of Charmey, is a charming place to visit: romantic little towns, fragrant Alpine meadows, steaming thermal baths, enchanting lakes, snowy slopes and ancient customs that survive to this very day. Whatever the time of year, you’re guaranteed to have an experience that will delight all your senses.","It’s hardly surprising that this idyllic area has produced a real superstar: Le Gruyère, the world-famous cheese with PDO status. The flavoursome milk used to produce it comes from cows that graze on the fragrant flora and lush grass of Alpine meadows. Alpine cheese dairies in the region are open to the public and happy to show visitors how the delicious cheese is made. And in summer, you can even enjoy Fribourg speciality fondue moitié-moitié (made with Vacherin and Gruyère) while marvelling at the fantastic views of the Moléson and the Fribourg Pre-Alps from the comfort of the Charmey cable car.The whole area is steeped in agricultural tradition and customs, including wood-shingle roofs, colourful Alpine cattle processions, herb festivals, Poya (paintings depicting the migration of the herds to and from their Alpine pastures) and a romantic farmer’s trail. Speaking of trails, the area is also great for a whole range of outdoor activities thanks to a network of hiking, cross-country skiing and bike trails, not to mention ski slopes. For thrill seekers, there is also paragliding and a zipwire. If you visit the small photogenic town of Gruyères, make sure you have your camera with you. An absolute must for those with a sweet tooth: the Maison Cailler chocolate factory in the little village of Broc.If you’re looking for relaxation and a bit of a pampering, there’s no place better than Les Bains de la Gruyère, where pools are heated to 34 degrees. The pools are particularly beautiful in winter when steam rises from the water and the surrounding mountains glisten with snow.Skiers can take the cable-car up to the Vounetse in the massif of the Dents Vertes. The six lifts, a snowpark, floodlit cross-country tracks, snow-shoe routes and mean there is a wide range of winter sports available. The family-friendly skiing area of Jaun, with its four lifts, also offers all the benefits of a compact skiing area for families with children. There are other nearby skiing areas on the La Berra (1720 m) and Moléson (2002 m).For walkers and lovers of Nordic walking and mountain biking, Charmey is just the right place: there are various tracks marked out, for example on the Vounetse mountain (1627 m) with its fine views, and there are maps showing them too. At the middle station of the cable-car you can test your skills and courage in a rope adventure park with five routes. There are signposted paths with information boards about the alpine economy and the flora and fauna, drawing your attention to the special features of the landscape. Finally, at the top station there is an alpine cheesery where Gruyère AOP cheese is still made in the traditional way over a wood fire.The Jaun Pass connects the Gruyère region with the Simmental in the Bernese Oberland. In summer, the steep, weather-beaten slopes of the Gastlosen (1998m) attract many hikers and climbers to the area. Nearby Jaun, at the foot of an impressive waterfall, is close to the language border between French and German. Here it is worth visiting the old cemetery with its many wooden carvings, recalling the previous occupations of those who are buried there.Let yourself be charmed by the mountains! Charmey offers holidays in a unique setting where nature and tradition are respected and cherished. Discover the many facets of this Prealpine region at any season, all year round.The idyllic landscape around Charmey is formed of ten valleys. Among the rivers, lakes, Alpine meadows and mountain peaks, hikers and mountain-bikers can find a host of signposted trails of varying levels of difficulty. There are plenty of attractions for families, too – including an adventure rope park, mini-golf and the Rapido Sky gondola. Panoramic cabins (each accommodating 8 people) bring you to the summit of Vounetz (1,650m), and glorious views of the Prealps.The traditional world of the Alpine pastures twinned with the magic of the “Bains de la Gruyère” spa: wellbeing and relaxation in their purest form!"
Les Bains de la Gruyère,https://www.myswitzerland.com/en-ch/experiences/les-bains-de-la-gruyere/,46.61887,7.16586,Bathers are welcomed in this facility with a unique and innovative design that blends in seamlessly with its environment.,"All year2 to 4 hours (half day)6 to 9 years, 10 to 13 years, 14+ yearsChildren, Families, Individual, CouplesWheelchair accessibleIndoor and outdoorNature, RelaxLes Bains de Charmey en GruyèreGros-Plan 301637 CharmeySwitzerlandPhone+41 (0)26 927 67 77Fax +41 (0)26 927 67 68reservation@bainsdelagruyere.chbainsdelagruyere.chShow Route"
"Maison Cailler, the Swiss Chocolate Factory",https://www.myswitzerland.com/en-ch/experiences/maison-cailler-the-swiss-chocolate-factory/,46.60356,7.10004,"The visitor trail provides a complete immersion into the brand, history and products of Cailler of Switzerland. The experience is sensitive, sensual and poetic, giving the visitor a window into the world of chocolate by means of a transparent and sparkling aesthetic.","All year2 to 4 hours (half day)10 to 13 years, 14+ yearsChildren, Families, GroupsIndoorCulinary, EducationGerman, English, French, Italian, Spanish, Portuguese, Arabic, Russian, Chinese, Japanese10 - 100CHF 12Maison CaillerRue Jules Bellet 71636 BrocSwitzerlandPhone+41 (0)26 921 59 60Fax +41 (0)26 921 59 72maisoncailler@nestle.comcailler.chShow Route"
Bernina Express,https://www.myswitzerland.com/en-ch/experiences/bernina-express/,0.0,0.0,"This panoramic train connects the north of Europe to its south – right through the UNESCO World Heritage site of Rhaetian Railway, passing by glaciers on its way down to palm trees.","4 to 8 hours (full day)0 to 5 years, 6 to 9 years, 10 to 13 years, 14+ yearsChildren, Families, Groups, Individual, CouplesHighPartially wheelchair accessibleLow"
Luzern–Interlaken Express,https://www.myswitzerland.com/en-ch/experiences/luzern-interlaken-express/,47.05117,8.30935,Lucerne and Interlaken. Two of Switzerland’s most popular tourist destinations. But how best to get from one city to the other? Conveniently easy: with the comfortable Luzern–Interlaken Express.,
Grossmünster,https://www.myswitzerland.com/en-ch/experiences/grossmuenster/,47.36971,8.53904,"The Grossmünster is an Evangelical Protestant church in the Old Town of Zurich, and is one of Zurich's most famous landmarks. Construction of this Romanesque church was begun in 1100 and it has since been rebuilt and renovated several times.","All year2 to 4 hours (half day)14+ yearsGroups, Individual, CouplesIndoorCulture, Education, UrbanGerman, English, French, Italian1 - 100GrossmünsterGrossmünsterplatz8001 ZürichSwitzerlandPhone+41 (0)44 252 59 49grossmuenster.chShow Route"
Landquart Fashion Outlet,https://www.myswitzerland.com/en-ch/experiences/landquart-fashion-outlet/,46.96558,9.55864,Outlet shopping – more than 160 brands at irresistibly affordable prices,1-2 hoursGroupsIndoor and outdoorLandquart Fashion OutletTardisstrasse 20a7302 LandquartSwitzerlandPhone+41 (0)81 300 02 22info@landquartfashionoutlet.chlandquartfashionoutlet.chShow Route
